dataset,subset,target_layer,training_dataset,validation_dataset,test_dataset,model_name,n_features,degree,activation,batch_size,num_epochs_overfit,overfitting_target,overfitting_prediction,num_epochs_training,loss,leaning_rate,training_loss,val_loss,mae-train,mse-train,rmse-train,rmspe-train,mae-val,mse-val,rmse-val,rmspe-val,mae-test,mse-test,rmse-test,rmspe-test
LayerWiseDataset,pretrained,conv,1603,401,501,GRN,5,,,64,3000,2.4095998814866277,2.3197805881500244,1,mse,0.0001,8.48108959197998,9.000571250915527,2.7274279000116812,8.371437653108904,2.893343680434266,0.998940249746111,2.8059525023275955,9.000571896279776,3.0000953145324862,0.9989508407600566,2.7507649497529423,8.478053822675951,2.911709776518936,0.9989496460921136
LayerWiseDataset,pretrained,conv,1603,401,501,GRN,5,,,64,3000,3.7588811674579383,3.7698605060577393,5000,mse,0.0001,0.2925527095794678,0.248426154255867,0.3573466395391461,0.28805364194905697,0.5367062902082078,0.2014058066473674,0.3373120319269822,0.24842615736051155,0.49842367255228914,0.20931923618825088,0.3674522558505388,0.2901770487398518,0.5386808412593228,0.2122928939490785
LayerWiseDataset,pretrained,conv,1603,401,501,GRN,5,,,64,3000,2.0018964208046595,2.006978988647461,1000,mse,0.001,0.32525378465652466,0.36945778131484985,0.4116657998030758,0.32166285182049087,0.5671532877630975,0.21936488355810782,0.42227325204345917,0.3694577711417635,0.6078303802392272,0.22800066822518134,0.42744493212765733,0.3429876422058386,0.5856514682008733,0.22528936410880568
LayerWiseDataset,pretrained,conv,1603,401,501,GRN,5,,,64,3000,1.7349153291301598,1.7401505708694458,1000,mse,0.001,0.474107950925827,0.47657567262649536,0.5016941005800588,0.4664909142348989,0.6830014013418266,0.26563907092090094,0.5033271285849216,0.47657567528314454,0.6903446061809598,0.2726472372536556,0.493729280036093,0.450795918106286,0.671413373493771,0.2547247344075191
LayerWiseDataset,pretrained,conv,1603,401,501,GRN,5,,,64,3000,2.839252051707771,2.8405282497406006,1000,mse,0.001,0.3082227110862732,0.3476300835609436,0.39487063352381196,0.2972340619383109,0.5451917662055352,0.19156741182122594,0.4004376759777167,0.3476300702338414,0.5896016199382779,0.19864758172327499,0.4211979063669335,0.3313199818724081,0.5756040148160957,0.2019567430675706
LayerWiseDataset,pretrained,conv,1603,401,501,GRN,5,,,64,3000,1.760320432671249,1.7441761493682861,5000,mse,0.0001,0.28581351041793823,0.327303946018219,0.3631986340469725,0.2709023625826177,0.5204828167986122,0.19898458969366836,0.3789846247632228,0.3273039431671765,0.5721048358187304,0.20922455293769332,0.39155631868403074,0.31593028672895646,0.5620767623100571,0.21486286134240304
LayerWiseDataset,pretrained,conv,1603,401,501,GRN,5,,,64,3000,2.8194999830139342,2.4752957820892334,1,mse,0.0001,8.372828483581543,8.987102508544922,2.724912530827301,8.357787676676118,2.890983859636044,0.9979034589202833,2.8035026571500765,8.98710214456648,2.997849586714864,0.997942370043608,2.7483525188080953,8.464773293841668,2.909428344854306,0.9979682328979245
LayerWiseDataset,pretrained,conv,1603,401,501,GRN,5,,,64,3000,2.9098638794958465,2.929069757461548,5000,mse,0.0001,0.3528946042060852,0.37824150919914246,0.4349534477080775,0.33428341160831326,0.578172475657838,0.22420941219723922,0.44324905014515975,0.3782415544786549,0.6150134587784685,0.22701113903996803,0.4466431968192004,0.3523687857400622,0.5936065917255824,0.22486693515629164
LayerWiseDatasetv2,pretrained,conv,1724,353,428,PolynomialRegression,5,3,,,,1.860670815733744e-09,1.860670815733744e-09,,,,,,3.599339485147544e-10,2.387385341876912e-19,4.886087741615895e-10,0.1799069595974288,5.374129396302441e-10,5.959265332647899e-19,7.719627797146634e-10,0.21499578463234056,4.1832447932451496e-10,3.5685920711620777e-19,5.973769388888458e-10,0.21274626280781875
LayerWiseDatasetv2,pretrained,conv,2077,0,428,PolynomialRegression,5,3,,,,1.7252215173563429e-09,1.7252215173563429e-09,,,,,,3.8435398626039463e-10,2.7021461759600755e-19,5.198217171261774e-10,0.18389739116517453,,,,,4.1841381175234503e-10,3.422586705939159e-19,5.850287775775786e-10,0.2141903598580408
LayerWiseDatasetv2,pretrained,conv,2077,0,428,PolynomialRegression,5,3,,,,1.7252215173563429e-09,1.7252215173563429e-09,,,,,,3.8435398626039463e-10,2.7021461759600755e-19,5.198217171261774e-10,0.18389739116517453,,,,,4.1841381175234503e-10,3.422586705939159e-19,5.850287775775786e-10,0.2141903598580408
LayerWiseDatasetv2,pretrained,conv,2077,0,428,PolynomialRegression,5,3,,,,1.7252215173563429e-09,1.7252215173563429e-09,,,,,,3.8435398626039463e-10,2.7021461759600755e-19,5.198217171261774e-10,0.18389739116517453,,,,,4.1841381175234503e-10,3.422586705939159e-19,5.850287775775786e-10,0.2141903598580408
LayerWiseDatasetv2,pretrained,conv,2077,0,428,PolynomialRegression,5,3,,,,1.7252215173563429e-09,1.7252215173563429e-09,,,,,,3.8435398626039463e-10,2.7021461759600755e-19,5.198217171261774e-10,0.18389739116517453,,,,,4.1841381175234503e-10,3.422586705939159e-19,5.850287775775786e-10,0.2141903598580408
LayerWiseDatasetv2,pretrained,conv,1724,353,428,GRN,5,,,64,3000,1.860670815733744e-09,-0.0061398837715387344,500,mse,0.0001,1.318165907406943e-15,7.14919894982067e-17,5.7871129415827734e-09,6.546526608476462e-17,8.09106087511178e-09,3.7076697527557183,6.198349318695495e-09,7.14919680507972e-17,8.455292310192309e-09,3.8603361157346887,7.972709289150781e-09,1.0462540654583164e-16,1.022865614564453e-08,4.87258229574635
